"","names","total"
"836","if you were",649
"837","know that i",649
"838","on the back",649
"839","for a great",648
"840","i got the",648
"841","so much more",648
"842","to everyone who",648
"843","want you to",648
"844","go to sleep",647
"845","is just a",646
"846","be at the",645
"847","because it is",645
"848","here is a",645
"849","had no idea",643
"850","i was at",643
"851","lot of people",643
"852","not to mention",643
"853","i go to",642
"854","did you get",641
"855","i hope to",640
"856","in the uk",640
"857","it was an",640
"858","for me and",639
"859","had a good",639
"860","like to see",639
"861","look like a",639
"862","love you too",639
"863","but im not",638
"864","come to the",638
"865","you know i",638
"866","a lot to",637
"867","we are all",637
"868","great to see",636
"869","that is not",636
"870","you are in",636
"871","dont know why",635
"872","i think this",635
"873","all is well",634
"874","excited to see",634
"875","spread the word",633
"876","well as the",633
"877","i will have",632
"878","is that i",632
"879","the way you",632
"880","i was able",631
"881","for those of",630
"882","for the new",629
"883","bottom of the",628
"884","i know what",628
"885","its a good",628
"886","its gonna be",628
"887","to me i",628
"888","we went to",627
"889","could have been",626
"890","why am i",626
"891","working on a",626
"892","is about to",625
"893","there is nothing",625
"894","will always be",625
"895","a good one",624
"896","to get in",624
"897","we are not",624
"898","half of the",623
"899","now i have",623
"900","who you are",623
"901","hit me up",622
"902","you do not",622
"903","great way to",620
"904","i love how",620
"905","that will be",620
"906","are a few",619
"907","be the best",619
"908","give it a",619
"909","give you a",619
"910","i could be",619
"911","when he was",619
"912","was supposed to",618
"913","going to see",617
"914","it is so",617
"915","you can find",617
"916","first time in",616
"917","going to make",616
"918","i have had",616
"919","is a little",616
"920","of the things",616
"921","they want to",616
"922","at least i",615
"923","of the house",615
"924","the world and",615
"925","able to get",614
"926","but this is",614
"927","of you who",614
"928","to be honest",614
"929","to see my",614
"930","you for your",614
"931","in other words",613
"932","last night i",613
"933","so i have",612
"934","to know that",612
"935","a few hours",611
"936","best way to",611
"937","in one of",611
"938","it as a",611
"939","i know im",610
"940","little bit of",610
"941","member of the",610
"942","the first place",610
"943","people who are",609
"944","i am sure",608
"945","i really dont",608
"946","and the other",607
"947","waiting for the",607
"948","me want to",606
"949","thought i was",606
"950","what happened to",606
"951","do the same",605
"952","if there is",605
"953","the right to",605
"954","we had to",605
"955","whether or not",605
"956","it was not",604
"957","why are you",604
"958","them in the",603
"959","first day of",602
"960","i have an",602
"961","told me that",602
"962","what did you",602
"963","take a look",601
"964","up in a",601
"965","this will be",600
"966","will you be",600
"967","and for the",599
"968","in this case",599
"969","if you cant",598
"970","that he is",598
"971","that i will",598
"972","to me that",598
"973","because it was",597
"974","to know what",597
"975","right now i",596
"976","but in the",595
"977","i have not",595
"978","i really want",595
"979","keep up the",595
"980","i needed to",594
"981","i was not",594
"982","ill have to",594
"983","that can be",594
"984","to be more",594
"985","do not have",593
"986","on the same",593
"987","is like a",592
"988","the start of",592
"989","to all my",592
"990","to one of",592
"991","and when i",591
"992","i love to",591
"993","its not a",591
"994","of course the",591
"995","out how to",591
"996","are so many",590
"997","i had been",590
"998","i will not",589
"999","the lack of",589
"1000","to try and",589
"1001","you know it",589
"1002","of the same",588
"1003","want to make",588
"1004","to see that",587
"1005","what you want",587
"1006","will have a",587
"1007","but i know",584
"1008","dont even know",584
"1009","the next few",584
"1010","the process of",584
"1011","to be at",584
"1012","to tell me",584
"1013","thanks to the",583
"1014","and im not",582
"1015","the side of",582
"1016","the time of",582
"1017","was trying to",582
"1018","so if you",581
"1019","so that i",581
"1020","soon as i",581
"1021","i have ever",580
"1022","no idea what",580
"1023","can do it",579
"1024","i didnt get",579
"1025","the world of",579
"1026","this is why",579
"1027","we are going",579
"1028","feel like a",578
"1029","meant to be",578
"1030","i look forward",577
"1031","learn how to",577
"1032","not in the",577
"1033","will be on",577
"1034","couple of weeks",576
"1035","much of the",576
"1036","was on the",576
"1037","we all know",576
"1038","why is it",576
"1039","you should be",576
"1040","just a little",575
"1041","so i could",575
"1042","this was the",575
"1043","along the way",574
"1044","as good as",574
"1045","time for a",574
"1046","chance to win",573
"1047","if you think",573
"1048","its a great",573
"1049","out of it",573
"1050","the size of",573
"1051","the history of",572
"1052","i will never",571
"1053","a member of",570
"1054","here is the",570
"1055","i hope that",570
"1056","to go with",570
"1057","you get the",570
"1058","but i will",569
