"","names","total"
"43991","ask me about",40
"43992","asked him what",40
"43993","at a great",40
"43994","at all for",40
"43995","at at the",40
"43996","at his home",40
"43997","at least people",40
"43998","at least when",40
"43999","at my own",40
"44000","at other times",40
"44001","at pm we",40
"44002","at the bus",40
"44003","at the counter",40
"44004","at the entrance",40
"44005","at the gas",40
"44006","at the wedding",40
"44007","at work at",40
"44008","aware that the",40
"44009","back home from",40
"44010","back in his",40
"44011","back to ny",40
"44012","bad and the",40
"44013","based on his",40
"44014","be all about",40
"44015","be careful not",40
"44016","be good enough",40
"44017","be in order",40
"44018","be live tweeting",40
"44019","be nice and",40
"44020","be playing in",40
"44021","be taken to",40
"44022","be true but",40
"44023","be up on",40
"44024","been a minute",40
"44025","been diagnosed with",40
"44026","been stuck in",40
"44027","believe you can",40
"44028","believes that the",40
"44029","best of both",40
"44030","better than anyone",40
"44031","birthday happy birthday",40
"44032","birthday is in",40
"44033","born in a",40
"44034","born out of",40
"44035","but he wasnt",40
"44036","but hey i",40
"44037","but in all",40
"44038","but itll be",40
"44039","but its my",40
"44040","but only a",40
"44041","but only one",40
"44042","but that does",40
"44043","but that wasnt",40
"44044","but the new",40
"44045","but those who",40
"44046","but when she",40
"44047","by a woman",40
"44048","by me and",40
"44049","by the bell",40
"44050","by the day",40
"44051","by the spirit",40
"44052","by the th",40
"44053","call for details",40
"44054","called for the",40
"44055","came close to",40
"44056","can catch up",40
"44057","can hear you",40
"44058","can learn to",40
"44059","can only assume",40
"44060","can only get",40
"44061","can still see",40
"44062","can we be",40
"44063","can we expect",40
"44064","can work together",40
"44065","cant be bothered",40
"44066","cant be that",40
"44067","cant tell me",40
"44068","cant we just",40
"44069","cant you just",40
"44070","cause i love",40
"44071","chief executive officer",40
"44072","christmas and happy",40
"44073","claim to have",40
"44074","claiming to be",40
"44075","class at the",40
"44076","class of the",40
"44077","come on guys",40
"44078","come to expect",40
"44079","coming out this",40
"44080","coming with me",40
"44081","compared to a",40
"44082","congratulations to you",40
"44083","consistent with the",40
"44084","content of the",40
"44085","cool in the",40
"44086","copious amounts of",40
"44087","could be made",40
"44088","could have gotten",40
"44089","couldnt have done",40
"44090","course i was",40
"44091","cups of water",40
"44092","curious about the",40
"44093","day i know",40
"44094","day i want",40
"44095","day ill be",40
"44096","day it will",40
"44097","day we had",40
"44098","day we have",40
"44099","days i was",40
"44100","days where i",40
"44101","decide to go",40
"44102","decided to keep",40
"44103","department of education",40
"44104","described in the",40
"44105","determined to make",40
"44106","did get to",40
"44107","did i think",40
"44108","did you not",40
"44109","didnt realize you",40
"44110","didnt win the",40
"44111","difficult it is",40
"44112","directly into the",40
"44113","do something you",40
"44114","do to the",40
"44115","does not take",40
"44116","doing it and",40
"44117","doing well and",40
"44118","doing your thing",40
"44119","dont make the",40
"44120","dont worry ill",40
"44121","down the field",40
"44122","duration of the",40
"44123","during his time",40
"44124","eat a lot",40
"44125","empire state building",40
"44126","end up doing",40
"44127","entry into the",40
"44128","equal to the",40
"44129","equivalent of the",40
"44130","even at the",40
"44131","ever feel like",40
"44132","everyone please follow",40
"44133","everything i want",40
"44134","everything in life",40
"44135","excited for tomorrow",40
"44136","expect from a",40
"44137","extent to which",40
"44138","fall in the",40
"44139","fall off the",40
"44140","family and my",40
"44141","fan of your",40
"44142","fascinated by the",40
"44143","father was a",40
"44144","favorite of the",40
"44145","feel about that",40
"44146","feel better and",40
"44147","feel that it",40
"44148","feeling pretty good",40
"44149","few times a",40
"44150","film in the",40
"44151","fine by me",40
"44152","first and only",40
"44153","first game of",40
"44154","first place and",40
"44155","follow back d",40
"44156","follow i love",40
"44157","followers thanks for",40
"44158","following you back",40
"44159","food and a",40
"44160","for a group",40
"44161","for a hour",40
"44162","for a period",40
"44163","for a series",40
"44164","for checking out",40
"44165","for checking us",40
"44166","for cinco de",40
"44167","for dinner at",40
"44168","for every time",40
"44169","for everything i",40
"44170","for her but",40
"44171","for it on",40
"44172","for minutes to",40
"44173","for no apparent",40
"44174","for showing me",40
"44175","for that but",40
"44176","for the afternoon",40
"44177","for the conference",40
"44178","for the main",40
"44179","for the photo",40
"44180","for the response",40
"44181","for their new",40
"44182","for you not",40
"44183","force me to",40
"44184","found it to",40
"44185","free and open",40
"44186","freedom of the",40
"44187","friends that i",40
"44188","from head to",40
"44189","from me to",40
"44190","from my family",40
"44191","from our own",40
"44192","from san diego",40
"44193","from san francisco",40
"44194","from the united",40
"44195","from top to",40
"44196","from you i",40
"44197","front of their",40
"44198","fun of the",40
"44199","get a drink",40
"44200","get in contact",40
"44201","get into this",40
"44202","get my new",40
"44203","get to follow",40
"44204","get you on",40
"44205","getting around to",40
"44206","give thanks for",40
"44207","give up i",40
"44208","give you more",40
"44209","glad you guys",40
"44210","go as far",40
"44211","go hand in",40
"44212","go have a",40
"44213","go on my",40
"44214","go with that",40
"44215","goes on in",40
"44216","going to tweet",40
"44217","good at the",40
"44218","good with the",40
"44219","gorgeous day in",40
"44220","got it and",40
"44221","got off work",40
"44222","gov chris christie",40
"44223","grand opening of",40
"44224","great to get",40
"44225","group of women",40
"44226","guess ill be",40
"44227","guys need to",40
"44228","guys on the",40
"44229","had a whole",40
"44230","had to spend",40
"44231","hands on a",40
"44232","happiness is not",40
"44233","happy b day",40
"44234","happy friday the",40
"44235","happy hour is",40
"44236","hard to put",40
"44237","has anyone seen",40
"44238","has to take",40
"44239","have a book",40
"44240","have been married",40
"44241","have changed the",40
"44242","have done for",40
"44243","have in store",40
"44244","have made this",40
"44245","have missed the",40
"44246","have only one",40
"44247","have some sort",40
"44248","have someone to",40
"44249","have to understand",40
"44250","have very little",40
"44251","have you got",40
"44252","havent been there",40
"44253","havent seen a",40
"44254","he didnt say",40
"44255","he is really",40
"44256","he wanted me",40
"44257","he woke up",40
"44258","health care system",40
"44259","health of the",40
"44260","heart of a",40
"44261","heat in the",40
"44262","help me find",40
"44263","her in her",40
"44264","her when i",40
"44265","hes in the",40
"44266","hes on the",40
"44267","hey guys i",40
"44268","hide and seek",40
"44269","him he has",40
"44270","him i said",40
"44271","his best to",40
"44272","his head in",40
"44273","his new book",40
"44274","his role as",40
"44275","his time in",40
"44276","home and the",40
"44277","hop on over",40
"44278","hope in the",40
"44279","hope to do",40
"44280","hot chili peppers",40
"44281","hours until the",40
"44282","how far you",40
"44283","how i miss",40
"44284","how much would",40
"44285","how the heck",40
"44286","how the world",40
"44287","how they feel",40
"44288","how this is",40
"44289","how to tell",40
"44290","how u doing",40
"44291","how you know",40
"44292","however when i",40
"44293","i am as",40
"44294","i am finding",40
"44295","i attempted to",40
"44296","i came in",40
"44297","i can but",40
"44298","i can listen",40
"44299","i cant stay",40
"44300","i checked the",40
"44301","i could care",40
"44302","i could stay",40
"44303","i didnt write",40
"44304","i dont just",40
"44305","i dont speak",40
"44306","i ever wanted",40
"44307","i finally decided",40
"44308","i firmly believe",40
"44309","i followed back",40
"44310","i found her",40
"44311","i get bored",40
"44312","i got for",40
"44313","i had and",40
"44314","i have experienced",40
"44315","i heard this",40
"44316","i imagine that",40
"44317","i just needed",40
"44318","i just never",40
"44319","i kept my",40
"44320","i knew a",40
"44321","i knew they",40
"44322","i knew youd",40
"44323","i know god",40
"44324","i left for",40
"44325","i looked over",40
"44326","i love music",40
"44327","i missed a",40
"44328","i never expected",40
"44329","i never understood",40
"44330","i only wish",40
"44331","i participated in",40
"44332","i pointed out",40
"44333","i received this",40
"44334","i see one",40
"44335","i shall not",40
"44336","i smell a",40
"44337","i spend a",40
"44338","i spoke with",40
"44339","i stood there",40
"44340","i suppose to",40
"44341","i think weve",40
"44342","i told u",40
"44343","i wanted them",40
"44344","i was convinced",40
"44345","i was made",40
"44346","i will remember",40
"44347","i would imagine",40
"44348","i would start",40
"44349","ice cream in",40
"44350","ice cream with",40
"44351","idea is that",40
"44352","idea was to",40
"44353","idea what im",40
"44354","ideas for the",40
"44355","if anyone knows",40
"44356","if he gets",40
"44357","if i went",40
"44358","if it didnt",40
"44359","if its true",40
"44360","if only it",40
"44361","if so how",40
"44362","if that means",40
"44363","if they arent",40
"44364","if u are",40
"44365","if we ever",40
"44366","if you actually",40
"44367","if you already",40
"44368","if you fall",40
"44369","if youve seen",40
"44370","ill do the",40
"44371","im afraid i",40
"44372","im in for",40
"44373","im just waiting",40
"44374","im pretty good",40
"44375","im still up",40
"44376","im the same",40
"44377","in a chair",40
"44378","in a saucepan",40
"44379","in a timely",40
"44380","in bed all",40
"44381","in but it",40
"44382","in each others",40
"44383","in england and",40
"44384","in fact she",40
"44385","in february and",40
"44386","in green bay",40
"44387","in july and",40
"44388","in minutes and",40
"44389","in my memory",40
"44390","in my throat",40
"44391","in one direction",40
"44392","in someone elses",40
"44393","in the and",40
"44394","in the atl",40
"44395","in the blood",40
"44396","in the driveway",40
"44397","in the fire",40
"44398","in the knowledge",40
"44399","in the minority",40
"44400","in the project",40
"44401","in the times",40
"44402","in the traditional",40
"44403","in trouble for",40
"44404","in what was",40
"44405","in your arms",40
"44406","instead of doing",40
"44407","into contact with",40
"44408","is a dangerous",40
"44409","is a former",40
"44410","is a series",40
"44411","is always in",40
"44412","is anything but",40
"44413","is at work",40
"44414","is bad for",40
"44415","is becoming more",40
"44416","is caused by",40
"44417","is getting to",40
"44418","is it better",40
"44419","is my friend",40
"44420","is not fun",40
"44421","is nothing new",40
"44422","is out on",40
"44423","is really hard",40
"44424","is said and",40
"44425","is sitting in",40
"44426","is the longest",40
"44427","is the power",40
"44428","is there really",40
"44429","is this one",40
"44430","is very difficult",40
"44431","is very easy",40
"44432","it a couple",40
"44433","it after all",40
"44434","it and what",40
"44435","it be to",40
"44436","it doesnt come",40
"44437","it it would",40
"44438","it its just",40
"44439","it just seemed",40
"44440","it kills me",40
"44441","it looks good",40
"44442","it looks great",40
"44443","it made it",40
"44444","it means the",40
"44445","it needed to",40
"44446","it never fails",40
"44447","it next time",40
"44448","it now and",40
"44449","it seems so",40
"44450","it was right",40
"44451","it was taken",40
"44452","it wasnt like",40
"44453","it when a",40
"44454","it yet i",40
"44455","it you should",40
"44456","its a simple",40
"44457","its for a",40
"44458","its much easier",40
"44459","its not on",40
"44460","its out of",40
"44461","its really good",40
"44462","its the kind",40
"44463","ive written about",40
"44464","jeans and a",40
"44465","jesus christ the",40
"44466","judge a book",40
"44467","jumped out of",40
"44468","just bought the",40
"44469","just cant seem",40
"44470","just figured out",40
"44471","just found the",40
"44472","just hope that",40
"44473","just like it",40
"44474","just part of",40
"44475","just said i",40
"44476","just saw an",40
"44477","just saw it",40
"44478","just so happens",40
"44479","just to name",40
"44480","just waking up",40
"44481","kid in the",40
"44482","kid you not",40
"44483","know any good",40
"44484","know that some",40
"44485","know that youre",40
"44486","know theres a",40
"44487","know what would",40
"44488","know which one",40
"44489","knowing that you",40
"44490","large amounts of",40
"44491","last month the",40
"44492","last part of",40
"44493","last week at",40
"44494","least one person",40
"44495","let me check",40
"44496","lets get some",40
"44497","life at the",40
"44498","life so much",40
"44499","like a cool",40
"44500","like a dream",40
"44501","like in a",40
"44502","like it in",40
"44503","like it so",40
"44504","like it to",40
"44505","like me i",40
"44506","like talking to",40
"44507","like you but",40
"44508","limited time offer",40
"44509","line is that",40
"44510","listen to and",40
"44511","little girl and",40
"44512","little of the",40
"44513","live in my",40
"44514","lol i guess",40
"44515","long as your",40
"44516","look at and",40
"44517","looked in the",40
"44518","looking for it",40
"44519","lot of what",40
"44520","lot to learn",40
"44521","love everything about",40
"44522","love love the",40
"44523","love one direction",40
"44524","love with your",40
"44525","loves you so",40
"44526","lower than the",40
"44527","make a mistake",40
"44528","make their way",40
"44529","making a big",40
"44530","making it happen",40
"44531","man and the",40
"44532","man i hope",40
"44533","man is not",40
"44534","many of your",40
"44535","may be too",40
"44536","maybe ill get",40
"44537","me a picture",40
"44538","me and just",40
"44539","me back and",40
"44540","me like im",40
"44541","me on fb",40
"44542","me to play",40
"44543","me to send",40
"44544","me to you",40
"44545","mean you can",40
"44546","means is that",40
"44547","meet at the",40
"44548","meet me at",40
"44549","meeting in the",40
"44550","meeting you today",40
"44551","mention have a",40
"44552","mentioned that i",40
"44553","might be better",40
"44554","mine and i",40
"44555","missing from the",40
"44556","moment in the",40
"44557","money to the",40
"44558","month and a",40
"44559","more complicated than",40
"44560","more concerned about",40
"44561","more like an",40
"44562","more reason to",40
"44563","more than others",40
"44564","more time for",40
"44565","more to it",40
"44566","more to me",40
"44567","more when i",40
"44568","mother of the",40
"44569","mothers day weekend",40
"44570","move forward with",40
"44571","moves like jagger",40
"44572","moving in the",40
"44573","much better when",40
"44574","music from the",40
"44575","music is a",40
"44576","must be on",40
"44577","must be something",40
"44578","my boyfriend and",40
"44579","my dream is",40
"44580","my email is",40
"44581","my family my",40
"44582","my favorite color",40
"44583","my favorite places",40
"44584","my fingers are",40
"44585","my first trip",40
"44586","my hair was",40
"44587","my interest in",40
"44588","my review of",40
"44589","my room i",40
"44590","my sewing machine",40
"44591","my two favorite",40
"44592","my whole family",40
"44593","need not be",40
"44594","need to cut",40
"44595","need to hit",40
"44596","need to hurry",40
"44597","need to set",40
"44598","need to win",40
"44599","neither of them",40
"44600","never mind that",40
"44601","new and old",40
"44602","new blog post",40
"44603","next round of",40
"44604","next year the",40
"44605","nice seeing you",40
"44606","night thanks for",40
"44607","no not yet",40
"44608","nor did i",40
"44609","not be afraid",40
"44610","not following you",40
"44611","not going anywhere",40
"44612","not know about",40
"44613","not like to",40
"44614","not much else",40
"44615","note of the",40
"44616","nothing can be",40
"44617","now available in",40
"44618","now more than",40
"44619","now that would",40
"44620","of a city",40
"44621","of a place",40
"44622","of a tree",40
"44623","of all places",40
"44624","of both worlds",40
"44625","of color and",40
"44626","of control and",40
"44627","of everything i",40
"44628","of good and",40
"44629","of him he",40
"44630","of his new",40
"44631","of last nights",40
"44632","of mine i",40
"44633","of my hand",40
"44634","of my lungs",40
"44635","of on the",40
"44636","of our most",40
"44637","of the companys",40
"44638","of the decade",40
"44639","of the front",40
"44640","of the golden",40
"44641","of the ice",40
"44642","of the jewish",40
"44643","of the peoples",40
"44644","of those books",40
"44645","of those nights",40
"44646","of us here",40
"44647","of what im",40
"44648","of you a",40
"44649","often as i",40
"44650","on a bit",40
"44651","on a nice",40
"44652","on a shelf",40
"44653","on april the",40
"44654","on monday morning",40
"44655","on my calendar",40
"44656","on my door",40
"44657","on my favorite",40
"44658","on my right",40
"44659","on second thought",40
"44660","on so i",40
"44661","on the bill",40
"44662","on the carpet",40
"44663","on the daily",40
"44664","on the edges",40
"44665","on the panel",40
"44666","on the playground",40
"44667","on the upper",40
"44668","on the year",40
"44669","on this bus",40
"44670","on those who",40
"44671","on to become",40
"44672","on track to",40
"44673","on twitter follow",40
"44674","on twitter now",40
"44675","on twitter so",40
"44676","once they are",40
"44677","one as well",40
"44678","one is for",40
"44679","one it was",40
"44680","one year anniversary",40
"44681","only one more",40
"44682","only the first",40
"44683","only years old",40
"44684","or follow me",40
"44685","or if its",40
"44686","or is there",40
"44687","or just plain",40
"44688","or not its",40
"44689","our children are",40
"44690","our design team",40
"44691","our th anniversary",40
"44692","out and play",40
"44693","out at me",40
"44694","out for us",40
"44695","out i will",40
"44696","out of fear",40
"44697","out of high",40
"44698","out of one",40
"44699","out there you",40
"44700","out to support",40
"44701","over again i",40
"44702","over for dinner",40
"44703","over the whole",40
"44704","over years and",40
"44705","packed full of",40
"44706","parks and rec",40
"44707","people are saying",40
"44708","people dont like",40
"44709","people should be",40
"44710","per se but",40
"44711","person and i",40
"44712","person but i",40
"44713","person i have",40
"44714","phone so i",40
"44715","places to eat",40
"44716","planning on going",40
"44717","plastic wrap and",40
"44718","play with it",40
"44719","please dm me",40
"44720","post is a",40
"44721","praying for the",40
"44722","president obama is",40
"44723","pretty sure he",40
"44724","problems in the",40
"44725","put it together",40
"44726","quote from the",40
"44727","read all about",40
"44728","ready for spring",40
"44729","ready to party",40
"44730","realize that they",40
"44731","really good i",40
"44732","relay for life",40
"44733","reminder of how",40
"44734","right to do",40
"44735","ring in the",40
"44736","rip donna summer",40
"44737","role in a",40
"44738","rt i wonder",40
"44739","rt one of",40
"44740","rt so excited",40
"44741","rt the best",40
"44742","rt the only",40
"44743","said but i",40
"44744","said goodbye to",40
"44745","said something about",40
"44746","said that you",40
"44747","said we were",40
"44748","same thing to",40
"44749","sat in a",40
"44750","saw that the",40
"44751","say anything about",40
"44752","say im not",40
"44753","say in the",40
"44754","season for the",40
"44755","seats in the",40
"44756","second part of",40
"44757","see a doctor",40
"44758","see it now",40
"44759","see that one",40
"44760","see that they",40
"44761","see us in",40
"44762","see you around",40
"44763","seeing you too",40
"44764","seem to do",40
"44765","seems as though",40
"44766","seems like i",40
"44767","several of my",40
"44768","she got to",40
"44769","shes one of",40
"44770","shoot me a",40
"44771","short period of",40
"44772","should be considered",40
"44773","should just be",40
"44774","should start a",40
"44775","show the world",40
"44776","side of this",40
"44777","since i havent",40
"44778","singing in the",40
"44779","sitting at my",40
"44780","six months ago",40
"44781","sleep all day",40
"44782","smaller than the",40
"44783","so good in",40
"44784","so how was",40
"44785","so she was",40
"44786","so that your",40
"44787","so very very",40
"44788","so well that",40
"44789","so you get",40
"44790","some people need",40
"44791","some things i",40
"44792","some time i",40
"44793","someone who had",40
"44794","something i had",40
"44795","songs in the",40
"44796","soon as she",40
"44797","stand your ground",40
"44798","started as a",40
"44799","started off with",40
"44800","started working on",40
"44801","stated that the",40
"44802","still have not",40
"44803","stop acting like",40
"44804","stop looking at",40
"44805","stuff for the",40
"44806","suggested that i",40
"44807","sunday at pm",40
"44808","sunny day in",40
"44809","sure i dont",40
"44810","sure if this",40
"44811","sure ill be",40
"44812","sure not to",40
"44813","sure of the",40
"44814","sure you do",40
"44815","surprised at the",40
"44816","sweet of you",40
"44817","take a bite",40
"44818","take a day",40
"44819","take credit for",40
"44820","take long for",40
"44821","take them out",40
"44822","taken away from",40
"44823","takes time to",40
"44824","taking in the",40
"44825","talk to anyone",40
"44826","teacher appreciation week",40
"44827","tell us a",40
"44828","tell your mom",40
"44829","telling me what",40
"44830","th birthday party",40
"44831","thank you from",40
"44832","thank you mr",40
"44833","thank you much",40
"44834","thankful that i",40
"44835","thanks we are",40
"44836","that but the",40
"44837","that didnt work",40
"44838","that every day",40
"44839","that gave me",40
"44840","that gives you",40
"44841","that i liked",40
"44842","that i remember",40
"44843","that in your",40
"44844","that is of",40
"44845","that is only",40
"44846","that its time",40
"44847","that make sense",40
"44848","that one too",40
"44849","that people dont",40
"44850","that says i",40
"44851","that she did",40
"44852","that the city",40
"44853","that the president",40
"44854","that things will",40
"44855","that this could",40
"44856","that to a",40
"44857","that to happen",40
"44858","that we still",40
"44859","thats a very",40
"44860","thats gonna be",40
"44861","thats what happened",40
"44862","the american public",40
"44863","the article is",40
"44864","the attack on",40
"44865","the band is",40
"44866","the beautiful and",40
"44867","the best game",40
"44868","the best ones",40
"44869","the better of",40
"44870","the bigger the",40
"44871","the brain and",40
"44872","the bus driver",40
"44873","the class and",40
"44874","the coming year",40
"44875","the complexity of",40
"44876","the confines of",40
"44877","the decision of",40
"44878","the decline of",40
"44879","the evening with",40
"44880","the feast of",40
"44881","the footsteps of",40
"44882","the four seasons",40
"44883","the gist of",40
"44884","the good in",40
"44885","the ground i",40
"44886","the gym today",40
"44887","the hopes that",40
"44888","the is this",40
"44889","the justice department",40
"44890","the labour party",40
"44891","the late th",40
"44892","the laundry room",40
"44893","the line up",40
"44894","the link in",40
"44895","the lord i",40
"44896","the moment is",40
"44897","the morning for",40
"44898","the morning when",40
"44899","the mothers day",40
"44900","the music business",40
"44901","the new orleans",40
"44902","the next minutes",40
"44903","the next season",40
"44904","the night sky",40
"44905","the north american",40
"44906","the ny times",40
"44907","the one he",40
"44908","the only guy",40
"44909","the opportunity for",40
"44910","the other guys",40
"44911","the party was",40
"44912","the past or",40
"44913","the past six",40
"44914","the past that",40
"44915","the peace of",40
"44916","the peak of",40
"44917","the picture below",40
"44918","the post and",40
"44919","the product is",40
"44920","the progress of",40
"44921","the public is",40
"44922","the radio station",40
"44923","the rest are",40
"44924","the road is",40
"44925","the rolling stones",40
"44926","the rose garden",40
"44927","the sad thing",40
"44928","the same about",40
"44929","the same guy",40
"44930","the same night",40
"44931","the scale of",40
"44932","the sea of",40
"44933","the season the",40
"44934","the second week",40
"44935","the small things",40
"44936","the social network",40
"44937","the speed limit",40
"44938","the staff at",40
"44939","the story it",40
"44940","the street in",40
"44941","the team in",40
"44942","the th pick",40
"44943","the thing to",40
"44944","the voices of",40
"44945","the ways that",40
"44946","the wrong things",40
"44947","their children and",40
"44948","their way into",40
"44949","them i just",40
"44950","them i love",40
"44951","themselves in a",40
"44952","then i could",40
"44953","then i heard",40
"44954","then i took",40
"44955","then it would",40
"44956","there aint no",40
"44957","there was plenty",40
"44958","theres no doubt",40
"44959","they are coming",40
"44960","they are right",40
"44961","they are there",40
"44962","they are used",40
"44963","they can help",40
"44964","they can to",40
"44965","they choose to",40
"44966","they come back",40
"44967","they do a",40
"44968","they have it",40
"44969","they will make",40
"44970","they wish to",40
"44971","thing that will",40
"44972","things go wrong",40
"44973","think about a",40
"44974","think so too",40
"44975","this is amazing",40
"44976","this one to",40
"44977","this post was",40
"44978","this way you",40
"44979","this weekend if",40
"44980","this year a",40
"44981","those around me",40
"44982","those who had",40
"44983","those who live",40
"44984","though its not",40
"44985","though they were",40
"44986","through the rest",40
"44987","throw it away",40
"44988","time in our",40
"44989","time on a",40
"44990","time there is",40
"44991","time to listen",40
"44992","time to sleep",40
"44993","times like these",40
"44994","times like this",40
"44995","to a degree",40
"44996","to a report",40
"44997","to act on",40
"44998","to add another",40
"44999","to an extent",40
"45000","to answer your",40
"45001","to ask my",40
"45002","to avoid being",40
"45003","to be anything",40
"45004","to be built",40
"45005","to be fully",40
"45006","to be missed",40
"45007","to be played",40
"45008","to be super",40
"45009","to be willing",40
"45010","to be yourself",40
"45011","to come through",40
"45012","to cut my",40
"45013","to decide on",40
"45014","to describe how",40
"45015","to fill a",40
"45016","to get good",40
"45017","to have made",40
"45018","to hear i",40
"45019","to her please",40
"45020","to host the",40
"45021","to ignore it",40
"45022","to increase your",40
"45023","to it we",40
"45024","to kill her",40
"45025","to like this",40
"45026","to link to",40
"45027","to listen and",40
"45028","to mention it",40
"45029","to my home",40
"45030","to my newest",40
"45031","to my wonderful",40
"45032","to not let",40
"45033","to our website",40
"45034","to play this",40
"45035","to present the",40
"45036","to pretend to",40
"45037","to read all",40
"45038","to remind us",40
"45039","to rest and",40
"45040","to say or",40
"45041","to sell your",40
"45042","to sit with",40
"45043","to something that",40
"45044","to speak in",40
"45045","to spend money",40
"45046","to take one",40
"45047","to thanks for",40
"45048","to the amazing",40
"45049","to the beer",40
"45050","to the level",40
"45051","to the president",40
"45052","to the twitter",40
"45053","to what was",40
"45054","to win and",40
"45055","to work or",40
"45056","to work there",40
"45057","to you what",40
"45058","to your local",40
"45059","today and im",40
"45060","today is your",40
"45061","told you so",40
"45062","town for a",40
"45063","treat me like",40
"45064","trending now in",40
"45065","tries to make",40
"45066","try to stop",40
"45067","tweeted in a",40
"45068","two months ago",40
"45069","two things that",40
"45070","two weeks in",40
"45071","u at the",40
"45072","u can get",40
"45073","u dont want",40
"45074","understand that i",40
"45075","understand why they",40
"45076","until all the",40
"45077","up and he",40
"45078","up and move",40
"45079","up before i",40
"45080","up in bed",40
"45081","up on their",40
"45082","up so fast",40
"45083","us help you",40
"45084","us this week",40
"45085","us to come",40
"45086","used to being",40
"45087","value to the",40
"45088","very important for",40
"45089","violation of the",40
"45090","violets are blue",40
"45091","vote in the",40
"45092","walked away from",40
"45093","was a gift",40
"45094","was a terrible",40
"45095","was all that",40
"45096","was and still",40
"45097","was awesome and",40
"45098","was by far",40
"45099","was doing it",40
"45100","was in college",40
"45101","was married to",40
"45102","was nominated for",40
"45103","was not one",40
"45104","was off to",40
"45105","was over the",40
"45106","was playing with",40
"45107","was said to",40
"45108","was so cool",40
"45109","was that we",40
"45110","was the year",40
"45111","was very very",40
"45112","was when he",40
"45113","ways you can",40
"45114","we can give",40
"45115","we can look",40
"45116","we can send",40
"45117","we do what",40
"45118","we have found",40
"45119","we just want",40
"45120","we love them",40
"45121","we must have",40
"45122","we will go",40
"45123","we wont have",40
"45124","week is the",40
"45125","week ive been",40
"45126","well into the",40
"45127","well thats what",40
"45128","were given a",40
"45129","were in my",40
"45130","what a shame",40
"45131","what else to",40
"45132","what had been",40
"45133","what you cant",40
"45134","what you find",40
"45135","whats good with",40
"45136","when i worked",40
"45137","when people talk",40
"45138","when someone asks",40
"45139","when this happens",40
"45140","where we will",40
"45141","where you could",40
"45142","where you get",40
"45143","where you go",40
"45144","wherever you go",40
"45145","which i do",40
"45146","which is exactly",40
"45147","which is fine",40
"45148","which we can",40
"45149","who are going",40
"45150","who are just",40
"45151","who came up",40
"45152","who doesnt have",40
"45153","who were not",40
"45154","whole point of",40
"45155","why not try",40
"45156","why we need",40
"45157","why you dont",40
"45158","will be celebrating",40
"45159","will be moving",40
"45160","will be presenting",40
"45161","will be starting",40
"45162","will change your",40
"45163","will depend on",40
"45164","will help us",40
"45165","will hopefully be",40
"45166","will never stop",40
"45167","willing to bet",40
"45168","win last night",40
"45169","with a child",40
"45170","with a pretty",40
"45171","with him as",40
"45172","with my hands",40
"45173","with some new",40
"45174","with the amount",40
"45175","with this and",40
"45176","with water and",40
"45177","with what he",40
"45178","with you is",40
"45179","woke up feeling",40
"45180","women and men",40
"45181","won the lottery",40
"45182","words to live",40
"45183","work at home",40
"45184","work hard and",40
"45185","work of a",40
"45186","work out the",40
"45187","worked hard to",40
"45188","worked in a",40
"45189","working on your",40
"45190","worth noting that",40
"45191","would be considered",40
"45192","would but i",40
"45193","would come back",40
"45194","would continue to",40
"45195","would no longer",40
"45196","would of been",40
"45197","would seem to",40
"45198","would take the",40
"45199","wrote a book",40
"45200","wrote about the",40
"45201","yeah i do",40
"45202","year old man",40
"45203","years since the",40
"45204","yes you read",40
"45205","yesterday when i",40
"45206","yet there are",40
"45207","you a message",40
"45208","you and if",40
"45209","you are supposed",40
"45210","you are up",40
"45211","you are with",40
"45212","you can handle",40
"45213","you can sign",40
"45214","you can to",40
"45215","you could take",40
"45216","you dont hear",40
"45217","you get up",40
"45218","you give them",40
"45219","you gotta get",40
"45220","you had your",40
"45221","you have you",40
"45222","you i want",40
"45223","you in forever",40
"45224","you just might",40
"45225","you listening to",40
"45226","you realize how",40
"45227","you see him",40
"45228","you smell like",40
"45229","you to play",40
"45230","you with this",40
"45231","you would get",40
"45232","your blog post",40
"45233","your copy of",40
"45234","your list of",40
"45235","your week is",40
"45236","a band of",39
"45237","a better idea",39
"45238","a big problem",39
"45239","a block of",39
"45240","a broken heart",39
"45241","a car crash",39
"45242","a car with",39
"45243","a cold and",39
"45244","a concert and",39
"45245","a drop in",39
"45246","a fantastic time",39
"45247","a few nights",39
"45248","a flight to",39
"45249","a free agent",39
"45250","a friend that",39
"45251","a funny thing",39
"45252","a gift and",39
"45253","a great run",39
"45254","a great thanksgiving",39
"45255","a guy like",39
"45256","a handle on",39
"45257","a little research",39
"45258","a lot at",39
"45259","a lot harder",39
"45260","a new idea",39
"45261","a new name",39
"45262","a new website",39
"45263","a prime example",39
"45264","a professor of",39
"45265","a program that",39
"45266","a question and",39
"45267","a reason and",39
"45268","a responsibility to",39
"45269","a smile and",39
"45270","a society that",39
"45271","a step further",39
"45272","a stop to",39
"45273","a strip club",39
"45274","a student at",39
"45275","a very bad",39
"45276","a wall of",39
"45277","a whole week",39
"45278","able to provide",39
"45279","about a few",39
"45280","about a mile",39
"45281","about five minutes",39
"45282","about it a",39
"45283","about it or",39
"45284","about the most",39
"45285","about these things",39
